DrawNumber,Date (mm/dd/yyyy),Number1,Number2,Number3,Number4,Number5,Number6,Additional
4145,1/5/2026,5,20,35,39,40,49,27
4144,1/2/2026,11,18,20,32,38,39,34
4143,12/29/2025,2,4,22,24,30,33,49
4142,12/25/2025,3,8,15,28,37,43,49
4141,12/22/2025,4,5,13,22,24,30,36
4140,12/18/2025,2,14,15,30,31,43,27
4139,12/15/2025,17,21,22,35,37,42,9
4138,12/11/2025,6,11,20,28,33,43,16
4137,12/8/2025,9,12,15,23,27,47,45
4136,12/4/2025,1,5,24,36,41,46,39
4135,12/1/2025,2,10,24,35,45,49,37
4134,11/27/2025,6,8,17,28,32,46,16
4133,11/24/2025,8,25,27,34,45,47,19
4132,11/20/2025,11,13,22,31,47,49,39
4131,11/17/2025,3,9,12,18,19,34,24
4130,11/14/2025,6,13,18,22,34,35,40
4128,11/10/2025,2,11,12,19,25,36,16
4127,11/6/2025,3,20,24,29,32,44,46
4126,11/3/2025,10,19,22,34,39,43,35
4125,10/30/2025,1,5,31,34,38,45,15
4124,10/27/2025,9,17,22,24,31,38,47
4123,10/23/2025,3,10,14,29,31,46,12
4122,10/20/2025,3,10,13,15,32,37,8
4121,10/16/2025,2,13,19,35,41,46,30
4120,10/13/2025,2,5,19,28,34,46,31
4119,10/9/2025,4,5,13,29,31,42,34
4118,10/6/2025,5,12,15,21,24,38,49
4117,10/2/2025,7,16,29,31,32,42,18
4116,9/29/2025,8,14,16,29,43,45,35
4115,9/25/2025,6,12,27,35,43,46,9
4114,9/22/2025,10,15,22,34,36,45,11
4113,9/18/2025,2,11,28,35,36,41,44
4112,9/15/2025,2,3,24,25,34,48,19
4111,9/11/2025,3,18,19,24,31,46,25
4110,9/8/2025,3,4,15,35,38,42,27
4109,9/4/2025,4,8,12,34,37,43,29
4108,9/1/2025,3,4,8,13,14,17,20
4107,8/28/2025,10,11,16,24,34,35,1
4106,8/25/2025,2,3,4,16,22,39,48
4105,8/21/2025,4,13,22,36,38,46,12
4104,8/18/2025,1,4,18,24,37,42,26
4103,8/14/2025,22,25,29,31,34,43,11
4102,8/11/2025,9,24,31,34,43,44,1
4101,8/8/2025,2,15,28,39,42,44,5
4100,8/4/2025,30,32,40,43,45,49,5
4099,7/31/2025,7,19,20,21,22,29,37
4098,7/28/2025,2,14,16,21,36,47,1
4097,7/24/2025,9,11,24,32,39,49,26
4096,7/21/2025,2,5,10,12,14,37,17
4095,7/17/2025,7,8,17,29,32,42,1
4094,7/14/2025,2,8,19,29,38,41,20
4093,7/10/2025,12,21,26,27,35,44,10
4092,7/7/2025,10,15,17,33,36,45,34
4091,7/3/2025,6,15,16,17,25,34,31
4090,6/30/2025,11,27,31,33,34,36,13
4089,6/26/2025,10,26,28,35,37,46,20
4088,6/23/2025,2,15,29,37,45,49,24
4087,6/19/2025,1,10,37,40,45,47,19
4086,6/16/2025,5,18,27,32,48,49,21
4085,6/12/2025,3,7,38,41,44,49,20
4084,6/9/2025,7,10,11,21,32,48,27
4083,6/5/2025,2,5,25,26,29,30,42
4082,6/2/2025,10,19,21,22,28,31,34
4081,5/29/2025,1,5,7,11,19,47,44
4080,5/26/2025,5,9,15,28,46,48,8
4079,5/22/2025,3,10,32,34,44,48,29
4078,5/19/2025,2,15,17,18,39,45,26
4077,5/15/2025,9,16,17,20,34,38,18
4076,5/12/2025,6,16,20,23,40,48,45
4075,5/8/2025,9,13,17,39,46,47,22
4074,5/5/2025,5,8,28,38,40,43,39
4073,5/1/2025,2,8,12,30,35,49,38
4072,4/28/2025,3,8,12,18,24,41,11
4071,4/24/2025,17,19,21,23,30,40,33
4070,4/21/2025,1,17,30,37,41,43,32
4069,4/17/2025,15,17,26,31,40,46,19
4068,4/14/2025,6,14,29,30,35,42,25
4067,4/10/2025,14,26,27,30,46,48,10
4066,4/7/2025,7,19,35,40,43,47,33
4065,4/3/2025,12,14,15,16,21,40,23
4064,3/31/2025,9,12,17,23,29,46,20
4063,3/27/2025,21,22,27,35,40,42,3
4062,3/24/2025,18,19,25,28,31,44,34
4061,3/20/2025,9,10,11,13,23,42,20
4060,3/17/2025,7,30,39,42,43,48,33
4059,3/13/2025,16,26,34,36,42,49,41
4058,3/10/2025,1,8,20,28,35,43,14
4057,3/6/2025,11,15,21,27,33,49,46
4056,3/3/2025,4,6,19,32,37,41,28
4055,2/27/2025,5,13,22,29,36,44,17
4054,2/24/2025,3,7,14,23,38,45,31
4053,2/20/2025,2,9,18,25,33,47,16
4052,2/17/2025,6,10,24,31,39,48,12
4051,2/13/2025,1,11,16,26,40,46,35
4050,2/10/2025,8,12,20,27,34,42,5
4049,2/6/2025,4,15,19,28,37,49,22
4048,2/3/2025,3,13,17,30,41,45,9
4047,1/30/2025,2,5,21,32,38,44,18
4046,1/27/2025,7,9,14,25,36,43,29
4045,1/23/2025,1,6,18,23,35,47,40
4044,1/20/2025,10,11,15,24,33,46,8
4043,1/16/2025,4,8,16,29,39,48,13
4042,1/13/2025,3,12,19,26,37,42,21
4041,1/9/2025,5,7,20,31,40,49,14
4040,1/6/2025,2,9,17,27,34,45,36
4039,1/2/2025,6,13,22,28,38,44,11
